ID,Title,Artist,Author,Album,Genre,Year;Number of Likes,Number of Dislikes
14,Tungstenium,The Kills,Bo,ipsum,Blues,1959,5,0
1,New York City,The Strokes,Julian,Cops,Rock,1906,5,2
3,Mardy Bum,Arctic Monkeys,Chester,Pure,Jazz,1961,3,0
10,Fury,Muse,Tanya,sit,Blues,1906,5,2
7,London Song,Arctic Monkeys,Kelly,elementum,Rock,1953,5,3
9,Last Nite,The Strokes,Mechelle,odio,Alternative,1965,4,2
11,Key Door,The Kills,Raya,egestas,Indie,1914,4,2
2,505,Arctic Monkeys,Alex,Yeah,Alternative,1988,3,2
8,Xray,Michael Jackson,Joel,dolor,Pop,1901,1,0
13,Killing Diet,Skrillex,Martina,Cras,Indie,1934,5,4
